time px py pz qx qy qz qw
193440.342267931 -0.032985 0.036803 0.121431 -0.141636 -0.039912 -0.051005 0.987798
193440.442216940 -0.032963 0.036667 0.121265 -0.141465 -0.039898 -0.051024 0.987822
193440.542315969 -0.032848 0.036306 0.120953 -0.141555 -0.039981 -0.050998 0.987807
193440.642264969 -0.032560 0.036737 0.120842 -0.141560 -0.039818 -0.051020 0.987812
193440.742213940 -0.032571 0.036913 0.120789 -0.142338 -0.039853 -0.051092 0.987695
193440.842312969 -0.032535 0.036374 0.120237 -0.141977 -0.039882 -0.051124 0.987744
193440.942261969 -0.032854 0.034979 0.120441 -0.142150 -0.039962 -0.051039 0.987720
193441.042210969 -0.032905 0.034914 0.120476 -0.142254 -0.039888 -0.051027 0.987709
193441.142160816 -0.032560 0.036146 0.120479 -0.142632 -0.039878 -0.051122 0.987650
193441.242258940 -0.032801 0.035962 0.120633 -0.142990 -0.039907 -0.051149 0.987596
193441.342207974 -0.032871 0.035647 0.120462 -0.142972 -0.039985 -0.051072 0.987599
193441.442156969 -0.033047 0.035147 0.120432 -0.143330 -0.039999 -0.051102 0.987545
193441.542255969 -0.033196 0.034658 0.120602 -0.143122 -0.040036 -0.051079 0.987575
193441.642204935 -0.033280 0.034409 0.120879 -0.143597 -0.040023 -0.051117 0.987504
193441.742153912 -0.033123 0.034758 0.120912 -0.143132 -0.039956 -0.051083 0.987576
193441.842102940 -0.033497 0.034455 0.120914 -0.144037 -0.040041 -0.051087 0.987441
193441.942202388 -0.033048 0.034246 0.120431 -0.143835 -0.040007 -0.051044 0.987474
193442.042150940 -0.032996 0.033956 0.120277 -0.144101 -0.040010 -0.050997 0.987438
193442.142099907 -0.033196 0.033137 0.120511 -0.143907 -0.040110 -0.051004 0.987462
193442.242198926 -0.032836 0.033542 0.119459 -0.144505 -0.040082 -0.051003 0.987376
193442.342147935 -0.032762 0.033484 0.119139 -0.145043 -0.040109 -0.050978 0.987297
193442.442096911 -0.032201 0.033500 0.117286 -0.146037 -0.040358 -0.050995 0.987139
193442.542045911 -0.031224 0.033768 0.112512 -0.145620 -0.039739 -0.051069 0.987222
193442.642144969 -0.030182 0.033141 0.108462 -0.147030 -0.040227 -0.051265 0.986983
193442.742093940 -0.028696 0.028231 0.093034 -0.146779 -0.039118 -0.051396 0.987058
193442.842042911 -0.026564 0.022317 0.076382 -0.146783 -0.038644 -0.051061 0.987094
193442.942141940 -0.024451 0.018285 0.064321 -0.146079 -0.039217 -0.050836 0.987187
193443.042090940 -0.022027 0.013420 0.050803 -0.146592 -0.039209 -0.050839 0.987111
193443.142039969 -0.020082 0.008417 0.036149 -0.147402 -0.040022 -0.051026 0.986948
193443.241988935 -0.017018 0.002545 0.017619 -0.146926 -0.039887 -0.051174 0.987017
193443.342091497 -0.014928 -0.004988 -0.000999 -0.147471 -0.040142 -0.050932 0.986938
193443.442036935 -0.012726 -0.012166 -0.015401 -0.148188 -0.040591 -0.050664 0.986826
193443.541985940 -0.011005 -0.019672 -0.035792 -0.149533 -0.040888 -0.050471 0.986621
193443.642084968 -0.008486 -0.026291 -0.055856 -0.150312 -0.041445 -0.050343 0.986486
193443.742033935 -0.004459 -0.032656 -0.078052 -0.149775 -0.040993 -0.050254 0.986591
193443.841983678 -0.000150 -0.039725 -0.099192 -0.150482 -0.041028 -0.050080 0.986491
193443.941931968 0.002975 -0.047397 -0.120046 -0.150399 -0.041217 -0.049893 0.986505
193444.042027596 0.005458 -0.055044 -0.142499 -0.149267 -0.041454 -0.049742 0.986674
193444.141966330 0.008738 -0.062256 -0.162342 -0.149964 -0.041432 -0.049733 0.986570
193444.241904978 0.011193 -0.068960 -0.180166 -0.150669 -0.042182 -0.049476 0.986444
193444.341996382 0.013696 -0.075988 -0.199990 -0.149857 -0.041859 -0.049766 0.986567
193444.441932402 0.016346 -0.082837 -0.220125 -0.149986 -0.041530 -0.050082 0.986545
193444.541871136 0.018122 -0.090295 -0.239130 -0.150162 -0.041705 -0.050070 0.986512
193444.641959826 0.021004 -0.097846 -0.260874 -0.149423 -0.041067 -0.050524 0.986627
193444.741898531 0.023795 -0.105333 -0.279995 -0.150158 -0.040942 -0.050751 0.986509
193444.841837236 0.026829 -0.112258 -0.299678 -0.149895 -0.040831 -0.050735 0.986555
193444.941775941 0.029688 -0.119182 -0.320677 -0.149978 -0.040325 -0.051161 0.986541
193445.041867935 0.033094 -0.124767 -0.343366 -0.147366 -0.040425 -0.051201 0.986928
193445.141816940 0.036086 -0.132041 -0.363334 -0.147497 -0.040114 -0.051339 0.986914
193445.241765940 0.039120 -0.138967 -0.383711 -0.147533 -0.039762 -0.051661 0.986906
193445.341864940 0.042180 -0.145909 -0.404066 -0.147917 -0.039656 -0.051808 0.986845
193445.441813968 0.046126 -0.153503 -0.426205 -0.147377 -0.039346 -0.052361 0.986909
193445.541762968 0.049165 -0.160523 -0.446760 -0.146171 -0.039112 -0.052355 0.987098
193445.641711940 0.052628 -0.168532 -0.469004 -0.147178 -0.038816 -0.052307 0.986963
193445.741810940 0.055517 -0.175658 -0.490764 -0.147175 -0.039138 -0.052946 0.986917
193445.841759968 0.058511 -0.182906 -0.512348 -0.148015 -0.039536 -0.053563 0.986742
193445.941708968 0.061410 -0.188594 -0.533402 -0.147116 -0.039585 -0.053638 0.986870
193446.041807906 0.064298 -0.196738 -0.555487 -0.147326 -0.039478 -0.053540 0.986849
193446.141756968 0.067383 -0.204777 -0.577907 -0.147703 -0.039363 -0.053681 0.986789
193446.241705968 0.070480 -0.213470 -0.600490 -0.148688 -0.039224 -0.053944 0.986632
193446.341654939 0.073351 -0.222283 -0.620503 -0.149620 -0.038738 -0.054167 0.986498
193446.441753935 0.076916 -0.230519 -0.644617 -0.149607 -0.038569 -0.054088 0.986511
193446.541702906 0.080315 -0.238229 -0.667958 -0.149719 -0.038632 -0.054205 0.986486
193446.641651968 0.083773 -0.246668 -0.691822 -0.149902 -0.038891 -0.054545 0.986429
193446.741750968 0.087630 -0.256357 -0.714023 -0.150611 -0.039481 -0.054419 0.986304
193446.841699968 0.091109 -0.266006 -0.738978 -0.150774 -0.039342 -0.054659 0.986272
193446.941648968 0.095398 -0.275116 -0.766453 -0.150784 -0.038648 -0.055034 0.986277
193447.041597930 0.100800 -0.283591 -0.794666 -0.150367 -0.038879 -0.055307 0.986316
193447.141696935 0.105244 -0.293778 -0.818982 -0.151196 -0.038706 -0.055247 0.986199
193447.241645968 0.109092 -0.304204 -0.845188 -0.151703 -0.038897 -0.055328 0.986110
193447.341594939 0.112522 -0.315404 -0.872392 -0.152437 -0.038632 -0.055580 0.985993
193447.441693968 0.116854 -0.327256 -0.898866 -0.153261 -0.038207 -0.055621 0.985879
193447.541642968 0.120460 -0.336950 -0.925194 -0.153493 -0.038617 -0.055799 0.985817
193447.641591968 0.123920 -0.346185 -0.950365 -0.153437 -0.038893 -0.056146 0.985795
193447.741540968 0.128631 -0.356904 -0.976200 -0.153710 -0.039191 -0.055895 0.985755
193447.841639934 0.132746 -0.366356 -1.002334 -0.153093 -0.039934 -0.055710 0.985832
193447.941588968 0.136729 -0.376791 -1.029021 -0.152642 -0.041188 -0.056010 0.985833
193448.041537939 0.139976 -0.385002 -1.048081 -0.153396 -0.041758 -0.055769 0.985706
193448.141636934 0.143900 -0.394236 -1.075023 -0.153004 -0.042777 -0.055153 0.985758
193448.241585968 0.148305 -0.404670 -1.103015 -0.152703 -0.043936 -0.054832 0.985771
193448.341534968 0.153105 -0.415021 -1.126571 -0.152162 -0.044239 -0.054644 0.985852
193448.441483939 0.158264 -0.425165 -1.155053 -0.152023 -0.044284 -0.054478 0.985880
193448.541582934 0.163133 -0.436169 -1.183608 -0.151433 -0.045349 -0.054280 0.985934
193448.641531939 0.166053 -0.447195 -1.213293 -0.152491 -0.045031 -0.054510 0.985773
193448.741480939 0.169898 -0.457778 -1.240747 -0.154328 -0.045360 -0.054235 0.985487
193448.841579968 0.172749 -0.468658 -1.266577 -0.154907 -0.043309 -0.055092 0.985441
193448.941528968 0.175866 -0.482022 -1.292194 -0.163975 -0.041128 -0.056501 0.983986
193449.041477934 0.176842 -0.495546 -1.304762 -0.180311 -0.040389 -0.058377 0.981045
193449.141426968 0.176878 -0.510237 -1.314334 -0.199539 -0.038986 -0.060631 0.977235
193449.241525939 0.178650 -0.525453 -1.326142 -0.220073 -0.036816 -0.063500 0.972718
