time px py pz qx qy qz qw
24881.612160624 -0.283746 -0.774437 1.975868 -0.599737 -0.082421 -0.033193 0.795249
24881.712259652 -0.287083 -0.738047 1.983267 -0.599082 -0.082629 -0.033643 0.795702
24881.812208652 -0.290325 -0.703540 1.992310 -0.598895 -0.083099 -0.033918 0.795782
24881.912157652 -0.294153 -0.667539 2.001589 -0.598684 -0.083081 -0.034341 0.795924
24882.012106652 -0.297911 -0.632379 2.010870 -0.598667 -0.082895 -0.035287 0.795915
24882.112205619 -0.300749 -0.601301 2.018829 -0.598434 -0.082783 -0.035679 0.796085
24882.212154624 -0.303728 -0.569234 2.023671 -0.591281 -0.083356 -0.035866 0.801344
24882.312103657 -0.306699 -0.535860 2.025325 -0.577612 -0.083357 -0.035281 0.811277
24882.412202652 -0.308110 -0.499301 2.029070 -0.564282 -0.082539 -0.034889 0.820704
24882.512151619 -0.311142 -0.458497 2.042293 -0.557012 -0.083367 -0.034277 0.825599
24882.612100652 -0.315206 -0.419222 2.050551 -0.549983 -0.082956 -0.033967 0.830351
24882.712049652 -0.319529 -0.382913 2.061057 -0.542715 -0.083181 -0.034032 0.835095
24882.812148624 -0.323184 -0.342429 2.069017 -0.535331 -0.082420 -0.033526 0.839942
24882.912097595 -0.326016 -0.311776 2.078332 -0.528873 -0.083070 -0.032352 0.844006
24883.012046652 -0.327630 -0.283295 2.082337 -0.522270 -0.083035 -0.031772 0.848133
24883.112145652 -0.328606 -0.268892 2.087204 -0.515661 -0.082514 -0.031525 0.852227
24883.212094652 -0.329807 -0.249888 2.090912 -0.510336 -0.082390 -0.030829 0.855464
24883.312043652 -0.331808 -0.233469 2.096844 -0.505741 -0.082711 -0.030581 0.858167
24883.411992652 -0.332723 -0.216318 2.100878 -0.497166 -0.082413 -0.030336 0.863200
24883.512091652 -0.335582 -0.197262 2.105315 -0.480325 -0.083670 -0.028631 0.872621
24883.612040652 -0.336361 -0.182228 2.110943 -0.462668 -0.084087 -0.027091 0.882119
24883.711990809 -0.337879 -0.161770 2.118672 -0.445036 -0.084270 -0.025750 0.891167
24883.812088662 -0.338986 -0.145242 2.124084 -0.426809 -0.084472 -0.024111 0.900065
24883.912037652 -0.341007 -0.131781 2.129506 -0.408566 -0.084711 -0.022386 0.908513
24884.011986652 -0.343663 -0.118241 2.132408 -0.390457 -0.085053 -0.020530 0.916454
24884.111935619 -0.340717 -0.100462 2.106727 -0.433307 -0.083424 -0.025397 0.897018
24884.212034623 -0.341123 -0.094923 2.111399 -0.421300 -0.083639 -0.023767 0.902743
24884.311983623 -0.340125 -0.089924 2.117351 -0.415687 -0.082839 -0.023694 0.905417
24884.411932623 -0.339686 -0.089411 2.117740 -0.415593 -0.082930 -0.023499 0.905457
24884.512031652 -0.339201 -0.089306 2.117539 -0.415689 -0.083055 -0.023321 0.905406
24884.611980652 -0.337355 -0.092556 2.113444 -0.414077 -0.083662 -0.022630 0.906106
24884.711929619 -0.334933 -0.105586 2.102380 -0.414994 -0.082835 -0.023217 0.905748
24884.811878590 -0.332180 -0.118511 2.089977 -0.415407 -0.082536 -0.023290 0.905584
24884.911977623 -0.329359 -0.129191 2.080166 -0.414821 -0.083496 -0.022357 0.905788
24885.011926619 -0.326925 -0.144235 2.067292 -0.415551 -0.083176 -0.022653 0.905475
24885.111875619 -0.324192 -0.160994 2.051793 -0.416134 -0.083288 -0.022973 0.905189
24885.211974652 -0.320042 -0.180337 2.028226 -0.405372 -0.082910 -0.022039 0.910117
24885.311923590 -0.312815 -0.196830 2.004462 -0.379956 -0.082718 -0.020544 0.921070
24885.411872652 -0.307759 -0.210944 1.980747 -0.357528 -0.082737 -0.018430 0.930048
24885.511821652 -0.304273 -0.218894 1.960189 -0.332663 -0.083259 -0.015987 0.939227
24885.611921271 -0.301522 -0.222991 1.938514 -0.307812 -0.083385 -0.013802 0.947686
24885.711869623 -0.299559 -0.225257 1.917634 -0.282815 -0.083396 -0.011761 0.955470
24885.811818652 -0.298749 -0.228492 1.901890 -0.266683 -0.082445 -0.010478 0.960194
24885.911917652 -0.297835 -0.229673 1.896720 -0.263339 -0.083202 -0.009886 0.961058
24886.011866618 -0.297071 -0.229547 1.892204 -0.258025 -0.083433 -0.009238 0.962485
24886.111815618 -0.296404 -0.230204 1.886188 -0.253661 -0.084404 -0.008367 0.963567
24886.211764623 -0.294341 -0.234476 1.872215 -0.248291 -0.083948 -0.007880 0.965009
24886.311865956 -0.291651 -0.240899 1.856075 -0.245551 -0.082913 -0.007774 0.965800
24886.411812652 -0.288603 -0.244654 1.842743 -0.240712 -0.083584 -0.007177 0.966964
24886.511761652 -0.285353 -0.251254 1.825619 -0.237499 -0.084091 -0.006643 0.967718
24886.611860652 -0.281750 -0.258802 1.807752 -0.234307 -0.083942 -0.006373 0.968511
24886.711809623 -0.277933 -0.267312 1.788336 -0.231579 -0.084073 -0.006061 0.969158
24886.811758652 -0.273660 -0.277272 1.766551 -0.230239 -0.083617 -0.005767 0.969518
24886.911707652 -0.268996 -0.286050 1.746031 -0.227975 -0.083909 -0.005265 0.970030
24887.011806618 -0.262307 -0.289309 1.716884 -0.213175 -0.083786 -0.004186 0.973406
24887.111755623 -0.258555 -0.298391 1.693363 -0.212958 -0.084329 -0.004201 0.973406
24887.211704652 -0.254932 -0.310280 1.668978 -0.214397 -0.084205 -0.003666 0.973103
24887.311803652 -0.251165 -0.320374 1.647585 -0.214044 -0.083868 -0.003749 0.973210
24887.411752623 -0.247525 -0.330568 1.626855 -0.213875 -0.084268 -0.003808 0.973212
24887.511701618 -0.243882 -0.340695 1.605844 -0.213513 -0.084408 -0.003714 0.973280
24887.611650618 -0.240106 -0.349395 1.585759 -0.212800 -0.084324 -0.003570 0.973444
24887.711749651 -0.235230 -0.357131 1.555299 -0.204789 -0.083911 -0.003231 0.975197
24887.811698651 -0.230728 -0.366054 1.535064 -0.204486 -0.083839 -0.002987 0.975268
24887.911647651 -0.226870 -0.374792 1.513653 -0.203592 -0.083786 -0.002852 0.975460
24888.011746623 -0.223544 -0.382739 1.492952 -0.202381 -0.083705 -0.003001 0.975718
24888.111695651 -0.219576 -0.392014 1.472609 -0.201958 -0.083917 -0.002677 0.975789
24888.211644618 -0.214811 -0.406414 1.445337 -0.203084 -0.084062 -0.002492 0.975543
24888.311594937 -0.210809 -0.414412 1.424796 -0.202112 -0.084109 -0.002244 0.975741
24888.411692651 -0.207021 -0.423775 1.402466 -0.201069 -0.083764 -0.002238 0.975987
24888.511641618 -0.202819 -0.433578 1.380033 -0.200305 -0.083759 -0.002116 0.976144
24888.611590623 -0.198695 -0.443187 1.357954 -0.199549 -0.083637 -0.002008 0.976310
24888.711689618 -0.192930 -0.456730 1.331493 -0.199156 -0.083330 -0.001873 0.976417
24888.811638623 -0.189568 -0.466825 1.309550 -0.198950 -0.083027 -0.001778 0.976485
24888.911587594 -0.185166 -0.476882 1.286721 -0.198448 -0.082748 -0.001575 0.976611
24889.011689091 -0.180593 -0.486042 1.263657 -0.197825 -0.082792 -0.001275 0.976734
24889.111638484 -0.177044 -0.495577 1.241894 -0.196857 -0.082699 -0.001165 0.976938
24889.211590254 -0.171275 -0.505037 1.213245 -0.194656 -0.082430 -0.000664 0.977402
24889.311542081 -0.168110 -0.512618 1.191530 -0.194207 -0.082338 -0.000276 0.977499
