time px py pz qx qy qz qw
193616.059603404 -0.045833 -1.047475 0.572469 0.491383 0.021954 0.046296 0.869435
193616.159552376 -0.045162 -1.080366 0.592434 0.490907 0.021473 0.046149 0.869724
193616.259501404 -0.044542 -1.112747 0.611986 0.491831 0.020776 0.045427 0.869257
193616.359600404 -0.043253 -1.142944 0.628344 0.493739 0.021105 0.044985 0.868189
193616.459549376 -0.042992 -1.174351 0.647703 0.493554 0.020753 0.044546 0.868326
193616.559498404 -0.042703 -1.205810 0.667204 0.493845 0.020284 0.044330 0.868183
193616.659597404 -0.042025 -1.234759 0.685345 0.493780 0.020672 0.043797 0.868237
193616.759546404 -0.042314 -1.265696 0.705630 0.493440 0.020509 0.043466 0.868451
193616.859495375 -0.042500 -1.296248 0.725578 0.493336 0.020537 0.043756 0.868495
193616.959444404 -0.041066 -1.325458 0.742270 0.493546 0.021256 0.043700 0.868361
193617.059543371 -0.040712 -1.356405 0.762822 0.493336 0.020959 0.043389 0.868503
193617.159492375 -0.040759 -1.386845 0.782337 0.491824 0.021740 0.043453 0.869338
193617.259441371 -0.040217 -1.418098 0.801461 0.489905 0.021828 0.043053 0.870438
193617.359540375 -0.040359 -1.450356 0.821491 0.481061 0.021869 0.043214 0.875348
193617.459489375 -0.039283 -1.486752 0.839248 0.461791 0.021302 0.043198 0.885680
193617.559438371 -0.037747 -1.523714 0.855569 0.437422 0.022270 0.042618 0.897970
193617.659387371 -0.036130 -1.559980 0.874788 0.411243 0.022105 0.041883 0.910295
193617.759486375 -0.034320 -1.597005 0.896008 0.385519 0.021364 0.040549 0.921561
193617.859435371 -0.034000 -1.625640 0.915246 0.365360 0.022478 0.040040 0.929733
193617.959384404 -0.032710 -1.654439 0.931788 0.339796 0.022094 0.039126 0.939425
193618.059483404 -0.030749 -1.681245 0.948023 0.304627 0.022037 0.037825 0.951465
193618.159432375 -0.028629 -1.710594 0.968738 0.266433 0.021442 0.036248 0.962933
193618.259381375 -0.025166 -1.742248 0.990209 0.229037 0.020835 0.035173 0.972559
193618.359330404 -0.022266 -1.772749 1.015323 0.190502 0.020174 0.033729 0.980900
193618.459429404 -0.018688 -1.802782 1.040481 0.147320 0.019936 0.031898 0.988373
193618.559378347 -0.012571 -1.826750 1.063029 0.106235 0.017790 0.030922 0.993701
193618.659327370 -0.008890 -1.833066 1.068292 0.092966 0.018528 0.029639 0.995056
193618.759426380 -0.007153 -1.830653 1.063569 0.092722 0.020775 0.029932 0.995025
193618.859375375 -0.008561 -1.826374 1.065637 0.094556 0.019579 0.030338 0.994865
193618.959324375 -0.010240 -1.827286 1.066876 0.091330 0.022444 0.030679 0.995095
193619.059273399 -0.008367 -1.840423 1.083132 0.060132 0.019914 0.029500 0.997556
193619.159372375 -0.005337 -1.858348 1.107328 0.019677 0.018372 0.027473 0.999260
193619.259321375 -0.007256 -1.871724 1.123833 -0.020072 0.017101 0.024833 0.999344
193619.359270404 -0.008325 -1.886755 1.154022 -0.067156 0.014949 0.022209 0.997383
193619.459369375 -0.007110 -1.899045 1.185432 -0.109951 0.013494 0.020050 0.993643
193619.559318375 -0.006458 -1.903071 1.212810 -0.136320 0.010017 0.018841 0.990435
193619.659267404 -0.007717 -1.902755 1.212934 -0.139733 0.012180 0.018560 0.989940
193619.759216404 -0.008849 -1.902824 1.214685 -0.139833 0.011883 0.018241 0.989936
193619.859315408 -0.009085 -1.903095 1.214605 -0.139078 0.012006 0.017981 0.990045
193619.959264375 -0.009308 -1.903492 1.213980 -0.138614 0.011925 0.017908 0.990113
193620.059213404 -0.009620 -1.903383 1.213846 -0.137881 0.011670 0.017900 0.990218
193620.159312375 -0.009956 -1.903688 1.213498 -0.137667 0.011944 0.017800 0.990247
193620.259261375 -0.011149 -1.900741 1.226319 -0.140443 0.014708 0.017373 0.989827
193620.359210370 -0.011501 -1.894371 1.268983 -0.159017 0.011000 0.016654 0.987074
193620.459159403 -0.012197 -1.893483 1.308081 -0.186160 0.008733 0.015144 0.982364
193620.559258375 -0.014303 -1.899875 1.309787 -0.193088 0.012481 0.013265 0.981012
193620.659207370 -0.014273 -1.899425 1.311430 -0.191064 0.011314 0.013498 0.981420
193620.759156375 -0.014400 -1.898790 1.314328 -0.189951 0.011376 0.013606 0.981633
193620.859255370 -0.013862 -1.898690 1.313602 -0.189256 0.011767 0.013619 0.981763
193620.959204403 -0.013908 -1.898921 1.313823 -0.188809 0.011585 0.013625 0.981851
193621.059153375 -0.015649 -1.897223 1.319478 -0.191833 0.017325 0.012798 0.981191
193621.159252403 -0.016536 -1.883661 1.358211 -0.198353 0.012784 0.012293 0.979970
193621.259201403 -0.019083 -1.873203 1.394844 -0.213203 0.014061 0.010314 0.976852
193621.359150403 -0.020609 -1.860355 1.430285 -0.228913 0.014532 0.009307 0.973294
193621.459099370 -0.022913 -1.847426 1.466800 -0.237716 0.014640 0.008171 0.971190
193621.559198403 -0.024493 -1.828753 1.498616 -0.237725 0.015094 0.008290 0.971180
