time, px, py, pz, qw, qx, qy, qz
24385.355307459001779, 0.138577, 0.00773599, -0.290335, 0.0253096, 0.691398, -0.722027, -0.0022941
24385.388623792001454, 0.139276, 0.0078462, -0.296136, 0.0238011, 0.691619, -0.721863, -0.00336584
24385.422090521002247, 0.138138, 0.00810531, -0.306641, 0.0215065, 0.69145, -0.722083, -0.00558508
24385.455406459004735, 0.137859, 0.00864752, -0.318056, 0.019302, 0.691413, -0.722156, -0.00818508
24385.48872279200441, 0.136446, 0.00848755, -0.338279, 0.0152422, 0.691241, -0.722347, -0.0130018
24385.522039092003979, 0.143049, 0.0087784, -0.338992, 0.0136386, 0.693062, -0.720643, -0.0123527
24385.555355430002237, 0.152044, 0.00784397, -0.3432, 0.0124076, 0.694929, -0.718848, -0.0133263
24385.588671792003879, 0.148937, 0.000856376, -0.334695, 0.0139066, 0.694506, -0.719229, -0.013309
24385.621988126003998, 0.152361, 0.0133665, -0.320514, 0.018649, 0.695986, -0.717674, -0.0141361
24385.655304430001706, 0.15591, 0.0140938, -0.317283, 0.0191645, 0.696736, -0.716951, -0.0132003
24385.688620792003348, 0.154111, 0.0250321, -0.348731, 0.0157652, 0.696602, -0.716947, -0.0220328
24385.721937121004885, 0.157433, 0.0275292, -0.353601, 0.0141385, 0.697362, -0.716224, -0.0225841
24385.755253402003291, 0.160821, 0.0256792, -0.346828, 0.0148658, 0.698144, -0.715495, -0.021015
24385.788719735002815, 0.161147, 0.0192923, -0.325977, 0.0194577, 0.698442, -0.715178, -0.0178911
24385.822036126002786, 0.16152, 0.0161609, -0.317524, 0.0219159, 0.698679, -0.714899, -0.0169539
24385.855352402002609, 0.158221, 0.0167947, -0.320428, 0.0211572, 0.698104, -0.715471, -0.017456
24385.888668792002136, 0.156381, 0.0174122, -0.323826, 0.0202018, 0.697945, -0.715639, -0.0180246
24385.921985092001705, 0.155894, 0.0145939, -0.317311, 0.0203915, 0.697986, -0.715638, -0.0161788
24385.955301664002036, 0.155985, 0.0127152, -0.31473, 0.0198678, 0.698208, -0.715458, -0.0151659
24385.98861776400372, 0.154026, 0.0113096, -0.313112, 0.0195779, 0.698035, -0.715645, -0.0146806
24386.021934125004918, 0.149948, 0.00995976, -0.311605, 0.0194993, 0.69745, -0.716222, -0.0144553
24386.055250425004488, 0.157113, 0.00345967, -0.297215, 0.0218357, 0.699391, -0.714296, -0.0125017
24386.088566792004713, 0.166916, 0.00772443, -0.310023, 0.020876, 0.702215, -0.711475, -0.0161673
24386.122033125004236, 0.183691, 0.009114, -0.309411, 0.0186199, 0.705634, -0.708198, -0.0138055
24386.155353306003235, 0.171337, 0.0110722, -0.317292, 0.0152596, 0.702383, -0.711497, -0.0140363
24386.188665792004031, 0.153233, 0.0101761, -0.322449, 0.0130817, 0.697962, -0.715862, -0.0148339
24386.221982097002183, 0.141533, 0.00913402, -0.329004, 0.00989019, 0.695635, -0.718173, -0.0148673
24386.255298425003275, 0.152487, 0.00964212, -0.327699, 0.0104426, 0.698225, -0.715649, -0.0148258
24386.288614759003394, 0.16283, 0.00860362, -0.322408, 0.0122075, 0.700984, -0.712923, -0.0146169
24386.321931092003069, 0.163583, 0.00774723, -0.327477, 0.0108732, 0.700723, -0.713185, -0.0153882
24386.355247430001327, 0.159528, 0.00107906, -0.293742, 0.0182805, 0.701762, -0.712027, -0.0146069
24386.388563792002969, 0.174225, 0.0164047, -0.306976, 0.020891, 0.706328, -0.707173, -0.0238813
24386.421880125002644, 0.180215, 0.0165514, -0.307858, 0.0212868, 0.707842, -0.705636, -0.0241825
24386.455346430004283, 0.165146, 0.011525, -0.308922, 0.016181, 0.702794, -0.710871, -0.0219422
24386.488662764004403, 0.163917, 0.0126724, -0.303888, 0.0176411, 0.70273, -0.710897, -0.0220214
24386.521979097004078, 0.164975, 0.0175092, -0.301505, 0.0201192, 0.703566, -0.709955, -0.0235268
24386.555295459002082, 0.16468, 0.0175059, -0.301198, 0.0201577, 0.703498, -0.710021, -0.0235468
24386.588611787003174, 0.165559, 0.0184829, -0.301628, 0.0205778, 0.703902, -0.709586, -0.0242039
24386.621928092001326, 0.167215, 0.0158703, -0.304229, 0.0208094, 0.704266, -0.709206, -0.0245598
